category,business_name,contact_name,email,phone,instagram,notes,event_source
,RESCUES,NAME,,,,,GD_LAND_2025
,Marley's Mutts,Bernadette,adoptions@marleysmutts.org,,,,GD_LAND_2025
,Vanderpump Dogs,Paola Pierantoni,paola@vanderpumpdogs.org,,,,GD_LAND_2025
,Pups Without Borders,Evie,info@pupswithoutborders.org,,,,GD_LAND_2025
,Deleon Foundation,Yari Deleon,deleonfoundation22@gmail.com,,,,GD_LAND_2025
,Pup Culture,,hello@pupculturerescue.org,,,,GD_LAND_2025
,Bark N Bitches,Shannon von Roemer,shopbnb@gmail.com,,,,GD_LAND_2025
,Dogs Without Borders,,kmadsenmft@gmail.com,,,,GD_LAND_2025
,GSI rescue,Victoria Begler,toribegler@gmail.com,,,,GD_LAND_2025
,Stray Cat Alliance,Marissa Peterson,marissa@straycatalliance.org,,,,GD_LAND_2025
,Samson's,Flo,samsonssanctuary@gmail.com,,,,GD_LAND_2025
,HIT Living Foundation,HEATHER CROWE,heather@hitlivingfoundation.org,,,,GD_LAND_2025
,The Labelle Foundation,,,,,,GD_LAND_2025
,SPONSORS; ENTERTAINMENT; FOOD AND DRINK,NAME,,,,,GD_LAND_2025
,FLUFFOLOGY,"Emily Henbest, Marcella Giuffrida",emily@marcellagiufridda.com,,,,GD_LAND_2025
,PRINCE STREET PIZZA,Austin Night,austin@eatprincestreetpizza.com,,,,GD_LAND_2025
,El Cristiano Tequila,"Alyssa, Tina, Nikki",tina@el-cristiano.com,,,,GD_LAND_2025
,Zoetis,Juliana Ryan,juliana.ryan@zoetis.com,,,,GD_LAND_2025
,CELSIUS,Marissa Rossi,mrossi@celsius.com,,,,GD_LAND_2025
,Bad hands Tattoo,Hiyo,,,,,GD_LAND_2025
,DJ - Skam Artists,Sujit Kundu,sujit1@skamartist.com,,,,GD_LAND_2025
,Covetrus,Katrina Fargas,katherina.fargas@covetrus.com,,,,GD_LAND_2025
,Chaga/Stella Coffee,Ally & Josh,hello@stellacoffeela.com,,,,GD_LAND_2025
,VENDORS,NAME,,,,,GD_LAND_2025
,CLEO & HOOMAN,Louie & Mike,hello@cleoandhooman.com,,,,GD_LAND_2025
,PartyAnimals,Aaron Irmas,aaron@getpartyanimal.com,,,,GD_LAND_2025
,lapawnaderiatreats,Adriana Montoya,lapawnaderiatreats@gmail.com,,,,GD_LAND_2025
,Xtreme Wellness (pets),Jeff,jeff@xtreme-brands.com,,,,GD_LAND_2025
,Ricky Animations,Ricky,ickyanimation@gmail.com,,,,GD_LAND_2025
,Fi - collars,Ken North,ken.north@tryfi.com,,,,GD_LAND_2025
,Yari,Sienna,,,,,GD_LAND_2025
,Jiby Dog Crew,Hailey,partners@jibydogcrew.com,,,,GD_LAND_2025
,FRESH PATCH,Kristin,partner@freshpatch.com,,,,GD_LAND_2025
,TAVO,Justin Byrd,justin.byrd@tavopets.com,,,,GD_LAND_2025
,Fit Dogs Sports Club,,,,,,GD_LAND_2025
,TruPanion,Genesis Rendon,genesis.rendon@trupaion.com,,,,GD_LAND_2025
,Modern Beast,,,,,,GD_LAND_2025
,Zen Frenz,Alex Gray,alex@zenfrenz.com,,,,GD_LAND_2025
,Alpha One Academy,Ian,info@alphaonecanineacademy.com,,,,GD_LAND_2025
