vendor_name,business_name,contact_name,email,phone,instagram,notes,event_source
Rescues,Rescues,,,,,,PetChewlla_2024
Vanderpump Dogs,Vanderpump Dogs,Britt confirmed 3/5/23,,,,,PetChewlla_2024
Pup Culture Dog Rescue,Pup Culture Dog Rescue,confirmed 10x20 outdoor space,,,,,PetChewlla_2024
Samsons Sanctuary,Samsons Sanctuary,"LM, emailed with Rickie and Flo, they are a yes",,,,,PetChewlla_2024
Stray Cat Alliance,Stray Cat Alliance,LM - Emailed 2/15/24- stacia and Camrin confirmed,,,,,PetChewlla_2024
Pups without Borders,Pups without Borders,confirmed 2/27/24- Brittany will email details,,,,,PetChewlla_2024
Deleon Fondation (Cat),Deleon Fondation (Cat),"Seems interested emailed today, 2/27/24/ confirmed",,,,,PetChewlla_2024
Dogs without Borders,Dogs without Borders,,,,,,PetChewlla_2024
Marley's Mutts,Marley's Mutts,BK_: reached out to Dylan on Feb 9th via email - no response yet. LM- Left Message on Vmail 3/6/24 CONFIRMED,,,,,PetChewlla_2024
YARI,YARI,Lm/ Emailed 2/16/24 - yes wants to have booth an bring in rescues; not bringing in dogs but activations no charge for booth as rescue portion.,,,,,PetChewlla_2024
The Labelle Foundation,The Labelle Foundation,,,,,,PetChewlla_2024
Love Leo,Love Leo,"Lm, emailed 2/23/24",,,,,PetChewlla_2024
Annenberg PetSpace,Annenberg PetSpace,"LM, Spoke to Michael and Sent Email 2/13/24",,,,,PetChewlla_2024
Korean K9 Rescue,Korean K9 Rescue,LM; Spoke to Gina and Sent Email 2/12/24,,,,,PetChewlla_2024
Hollywood Huskies,Hollywood Huskies,LM: Sent Email- 2/13/24 - no response,,,,,PetChewlla_2024
Dog Yoyo,Dog Yoyo,Bk_: reached out to Brian on Feb 9th via email - no response yet.,,,,,PetChewlla_2024
Deity Animal Rescue,Deity Animal Rescue,LM: Sent Email and Spoke to Ellen on the Phone 2/12/24 - no reponse,,,,,PetChewlla_2024
