,COLOER KEY --->>>>>,,Priority clinic list ,atena open tracker ,Large hospitals popped in by mellisa will be snail mailing them ,atena open tracker ,Includes Exotics ,,,,,,,,,,,,,,
,,greendoglmarai@gmail.com PUT YOUR NOTES IN HERE PLS :)Notes should be like this 3/27/25_GF ( your inititals ) your notes ,,,,,,,,,,,,,`,,,,,,
CLEANED UP?,Clinic Name,Notes,Referring Clients?,DVM OPEN HOUSE ,IN EZ?,GDD Zone,WHO ATTENDED DVM OPEN HOUSE?,# of referrals ,VISITS,Dates of Visits ,COOKIES?,Contact Name,Primary Veterinarian,Phone Number,Email,Address,Map Link,Last Interaction Date,GP OR SPE,What Services do they provide?,SPE SERVICES
YES - by Gladys ,Access LA,6/1/2023,NO,,Unknown,Venice,,,,,,,"Dr. Bethany Fackler
Dr. Hannah Attarian
Dr. Karen Schachterie
Dr. Cheryl Yashar
Dr. Callie Rich
Dr. Reunan Guillou
Sr. Laurent P. Guiot
Dr. Emily Chapel
Dr. Amelia Sinkin
Dr. Jeanette Hendricks
Dr. Marie Keith
Dr. Kelly Murphy
Dr. Brianna Smith
Dr. Amanda Spillane
Dr. Nicole Budzinski
Dr. Sara Herschler
Dr. Kristen Lahey
Dr. Priscilla Marroquin
Dr. Nhu Yen Nguyen
Dr. Ashley Pace
Dr. Alexa Rangel
Dr. Stephanie Streete
Dr. Michelle Zhang
Dr. Max Emanuel
Dr. Stephanie Smith
Dr. Sayaka Uematsu
Dr. Katarina Yi
Dr. Timothy Krebs 
Dr. Melissa Andruzzi
Dr. Ketaki Karnik
Dr. Reynsen Shigemoto
Dr. Kim Carey
Dr. Miranda de la Vega
Dr. Annie Lo","310.558.6100
310.997.1543",cserv@accessla.org,"9599 Jefferson Blvd, Culver City CA 90232",Google Maps Link,,UNKNOWN,,
,Affordable Animal Hospital Eagle Rock,,,,,,,,,,,,,323-794-056,info@affordableanimalhospitaleaglerock.com,"4000 Eagle Rock Blvd, Los Angeles, CA 90065",Google Maps Link,,,,
,Affordable Animal Hospital Silver Lake,,,,,,,,,,,,,,,,Google Maps Link,,,,
,All Animals Veterinary Hospital ,"6/25/25_ GF- Roberston, Gladys & Dre visited and dropped off flyers and left contact info - Dr. m was ""in surgery""",,,,"Aetna, SO",,,"6/25/26 _ DrRoberston,Gladys ,Dre",,,,,(818) 600-1838,help@allanimals-vet.com,"23815 Ventura Blvd Calabasas, CA 91302",Google Maps Link,,,,
Visit 3/19,Aloro Pet Hospital ,2/5/25_LM 2/26/25-2/27/25_LM,,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Dumas, Dr. Anush, Dr. Drogra, Dr. Khouban (Medical Director)",818-766-8197,staff@aloropethospital.com,"4846 Laurel Canyon Blvd Valley Village, CA 91607",,,SPE,,Behavior Management
Visit 3/20 ,Animal AM-Emergency Clinic,6/1/23,NO,,Unknown,"Aetna, SO",,,1,"unkown, 3/18/25",,,"Dr. Craig Mohaghegh, Dr. Vicky Chan, Dr. Hsiang-ling Chang, Dr. Anna Satorius, Dr. Rebecca Wong",626-564-0704, info@aaecp.com,"2121 E. Foothill Blvd, Pasadena, CA 91107",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/19,Animal Clinic of Encino,2/5/25_  2/26/25 - 2/26/25 3/3/25_LM,,,Unknown,"Aetna, SO",,,2,2,,,Tina Chang DVM,818-342-7900,tacoeoffice@sbcglobal.net,"18010 Ventura Blvd. Encino, CA 91316",,,SPE,,"Neurology, Internal Medicine, Ophthalmology, Dermatology, Geraontology, Ocology, Radiology"
Visit 3/20 ,Animal Dermatology Center,2/2/25_ 8/4/22_Dr. Geist met with Dr. Werner in person 8/4/22,YES,Attended,Unknown,"Aetna, SO",,,3,3,,,"Dr. Alexander Werner Resnick VMD, Dr. William Oldenhoff, DVM",818-981-8877,animaldermatologycenter@gmail.com,"13125 Ventura Blvd, Studio City, CA 91604",Google Maps Link,2023-06-01,SPE,,Dermatology
YES - by Mellisa ,Animal Dermatology Clinic,"6/1/23_Emailed
3/1/22_drop off brochures ",NO,,Unknown,Venice,Dr. Alexander Werner Resnick ,,1,1,,,"Craig Griffin, DVM, Wayne Rosenkrantz, DVM, Rusty Muse, DVM, Mona Boord, DVM, Mandy Burrows, BSc BVMS, Randall C. Thomas, DVM, Terri Bonenberger, DVM, Jenise Daigle, DVM, Joel Griffies, DVM, Heather Willis-Goulet, DVM, Lisa Akucewich, DVM, John Angus, DVM, Rudayna Ghubash, DVM, Colleen Mendelsohn, DVM, Allison Kirby, DVM, Melissa Hall, DVM",310.822.3376,infomarinadelrey@adcmg.com,"4834 Lincoln Blvd, Marina Del Rey, CA 90292",Google Maps Link,2023-06-01,UNKNOWN,,
,Animal Health Care Center,,,,,,,,,,,,,323-258-2122,,"5211 El Verano Ave, Los Angeles, CA 90041",Google Maps Link,,,,
,Animal Medical Center Valencia,,,,,,,,,,,,Dr. Heylim Kang / Dr. David Hinebaugh /  Dr. Michael Chae ,661-255-5555,amcvalencia@gmail.com,"25848 McBeann Pkwy Valencia, CA 91355",Google Maps Link,,,,
YES - by Gladys ,Animal Specialty and Emergency Center (ASEC),6/1/2023,YES,,Unknown,Venice,,,unkown,unkown,,,"Dr. Raviv Balfour
Dr. Kristin Barncord
Dr. Betty Chow
Dr. Eric Chow
Dr. Sara Crespo-Szabo
Dr. Sue Downing
Dr. Jenn Hubbard
Dr. Andres Ixtlahuac
Dr. Ingrid Judge
Dr. Laurel Krause
Dr. Teresa Linder
Dr. Melissa Ong
Dr. Roxanne Regalado
Dr. Jean Reichle
Dr. Daniella Ross
Dr. Carley Saelinger
Dr. Brittany Shuster
Dr. Mary Somerville
Dr. Nicole Spurlock
Dr. Ian Sroufe
Dr. Tricia Tovar
Dr. Sharmei Vicente
Dr. Kimberly Vu
Dr. Kelleigh Waters
Dr. Sean Yoshimoto (Medical Director)Lindsay Olmos (marketing and referrals) ",310-473-5906 / 310-473-1561 - this is a private number to a DVM - Joan Dolance ,"Zoe.Olmos@vca.com, Vanessa.Washburn@vca.com, Tricia. Tovar@vca.com, Raviv.Balfour@vca.com, Kristin.Barncord@vca.com, Betty.Chow@vca.com, Eric.Chow@vca.com, Sue.Downing@vca.com, Adrienne.Felix@vca.com, Annie.Kang@vca.com, Andres.Ixtlahuac@vca.com, Ingrid.Judge@vca.com, Teresa.Linder@vca.com, Melissa.Ong@vca.com, Roxanne.Regalado@vca.com, Jean.Reichle@vca.com, Daniella.Ross@vca.com, Carley.Saelinger@vca.com, Brittany.Shuster@vca.com, Mary.Somerville@vca.com, Nicole.Spurlock@vca.com, Annika.Sundby@vca.com, Sameer.Trivedi@vca.com, Kimberly.Vu@vca.com, Michell.Zhang@vca.com,","1535 South Sepulveda Blvd., Los Angeles, CA 90025",Google Maps Link,,UNKNOWN,,
Visit 3/20 ,Animal Vision Care & Surgical Center,,,,Unknown,"Aetna, SO",,,1,1,,,Dr. Noelle McNabb,(818) 501-5155,reception@animalvisioncare.com,"12147 Ventura Boulevard, Studio City
California, 91604",,,SPE,,"Ophthalmic: Cataract Surgery, Diagnostic Testing, Examinations, Eye Certification Exams, Prescription Refill Request, Surgical Services"
YES - by Mellisa ,Animal Wellness Centers,6/1/23_Emailed,NO,,Unknown,Venice,,,2,2,,,"Dr. Annie Harvilicz, Dr. Pernilla Edstrom, Dr. Katarzyna, Dr. Ying Zhi Lim,",310.381.9481,"info@animalwellnesscenters.com; annie@animalwellnesscenters.com; drlim@animalwellnesscenters.com; dredstrom@animalwellnesscenters.com, drkasia@animalwellnesscenters.com","1217 Wilshire Blvd, Santa Monica, 90403",Google Maps Link,2023-06-01,UNKNOWN,,
,Avalon Animal Hospital & Bird Clinic,,,,,,,,,,,,,(310) 835 0111,,"22404 S Avalon Blvd, Carson, CA 90745",,,,,
Visit 3/21,Balboa Veterinary Medical Center ,3/17_GF: New clinic - was not added to this spreadsheet ,,,Unknown,"Aetna, SO",,,3,NEW CLINIC NEVER VISITED! ,,,, (747) 285-4885,,"10361 Balboa Blvd. Granada Hills, CA 91344",,,,,
Visit 3/20 ,Banfield Pet Hospital,,,Attended,Unknown,"Aetna, SO","Dr. Inez Del Pino
Leslie Siller
Jose Coronado ",,1,unkown,,,"Dr. Del Pino, Dr. Valencia",818-998-3875,banfield5237@banfield.com,"8986 Tampa Ave, Northridge, CA 91324",,,GP,,
YES - by Mellisa ,Bay Animal Hospital,6/1/23,Yes,,Unknown,Venice,,1,unkown,unkown,,,,310.545.6596,"frontdesk@bayanimalhosp.com, sgoodell@bayanimalhosp.com, jbailey@bayanimalhosp.com, sgilliam@bayanimalhosp.com, jmatsuoka@bayanimalhosp.com, rtalpalatsky@bayanimalhosp.com
ksantelio@bayanimalhosp.com, tkim@bayanimalhosp.com, thigashi@bayanimalhosp.com, rmorrison@bayanimalhosp.com ","1801 North Sepulveda blvd, Manhattan Beach CA 90266",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,"Benjamin Rosnick, DVM",6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,*See Serenity VET,(424) 270-9006,"benjamin.rosnick@drrosnick.com
",makes HC in LA and Long Beach areas,Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Best Friends Animal Hospital,2/2/25_LM 3/3/25_LM_ Spoke Trish Hansen/ Office Manager,,,Unknown,"Aetna, SO",,,3,2,,,"Dr. Erica Heim, Dr. Susie Osmundson, Dr. Tracy Noda, Dr. Dan West, Dr. Lauren Vaughan, Dr. Amanda Wright",818-766-2140,"info@bestfriendsanimalhospitals.com, info@bestfriendsanimalhospital.com, kellie@bestfriendsanimalhospital.com","5425 Laurel Canyon Blvd.Valley Village, CA 91607",,,GP,,
YES - by Mellisa ,Beverly Hills Small Animal Hospital,"4/13_Spoke to Letty and she said Dr. Winters is the one to contact and his email is:  bhsah.pets@gmail.com, explained about our Internal Medicine Services and he would love for us to email him for Dr. Geist to stop by- NG (email sent)
5/19/23_Emailed and Called",Yes,,Unknown,Venice,,2,unkown,unkown,,,John Winters,310.276.7113,bhsah.pets@gmail.com,"353 Foothill Dr, Bevely Hill, 90210",Google Maps Link,5/19/2023,UNKNOWN,,
Visit 3/19,Beverly Oaks Animal Hospital,"9/16/2024_ Sheena Novick Manager Referral Packet Version  _____________ 2/2/25_Vanessa convo at Reception, nice, left packet, showed DVM ref section of GDD.com ",YES,,Unknown,"Aetna, SO",,,2,2,,,"Dr. Laurie Leach, Dr. Brian Wood, Sheena Novick Certified Veterinary Assistant, Liliya Didich Registered Veterinary Technician, Rudy Nava Registered Veterinary Technician",818.722.8680,bevoaks@gmail.com,"14302 Ventura Blvd., Sherman Oaks, CA 91423",Google Maps Link,2023-06-01,SPE,,Behavior
YES - by Mellisa ,Beverly Pet Clinic,"3/6/25_Spoke to Gabby, Dr. Woo is contact person and she left to Korea and will be back April 25th but said to email her at: info@beverlypetclinic.com and she will response back to us when she is back.- NG (email sent)",NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Woo,323.378.5402,info@beverlypetclinic.com,"4655 Beverly Blvd, LA 90004",Google Maps Link,2023-05-19,UNKNOWN,,
YES - by Mellisa ,Beverly Robertson Veterinary Clinic,"3/11/25 & 2/18/25_Spoke to Ruby, gave me email that all Vets can see so a good thing to send for Vets to join us also- NG (sent email)",SUPER CLINIC ,,Unknown,Venice,,5,3,3,3/11/25,,Dr. Nassi,310.464.0264,info@beverlyrobertsonvet.com,"1800 S Robertson Blvd #8, Los Angeles, CA 90035",Google Maps Link,2023-05-19,UNKNOWN,,
,Bloomfield Animal Hospital,,,Attended,Unknown,,"Dr. Jose Elmer “Joel” Arambulo,
Marc Bautista",,,,,,,15623837788,bloomfieldpet@yahoo.com,"20927 Norwalk Blvd, Lakewood, CA 90715",Google Maps Link,,,,
Visit 3/20 ,Blue Cross Pet Hospital,2/26/25 - 2/27/25_LM DVM Visit,,Attended,Unknown,"Aetna, SO","MARY JO HOWE,
Dr. Nahmi Jones,
Jill, ",,2,2,,,"Dr. Peter Lowenthal, Dr. Nahmi Jones, Dr. James Walters, Dr. Corine Gros",818-980-1313,reception@bluepet.com,"5505 Tujunga Ave, North Hollywood, CA 91601",,,SPE,,"Internal Medicine, Laser Therapy, Allergy Care,  Oncology, Emergency Care"
YES - by Mellisa ,Blue Pet Hospital,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,"Wayne Berry, Vivian Chiang DVM, Autumn Denison DVM, Megan Doan DVM, Scarlette Donovan VTS",949.833.9020,info.irvine@bluepearlvet.com,"1371 Reynolds Ave., Irvine, CA 92614",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Boulevard Pet Clinic,"10/4_ Dr. Schwartz, left with CSR_ Referral Packet Version 1_ not yet_ one dvm, super into holistic and alt therapy, not a high volume, but possible quality 2/26/25-2/27/25 _LM",,,Unknown,"Aetna, SO",,,1,1,,,Dr. David Schartz,818-506-2440,boulevardpetclinic@yahoo.com,"11440 Ventura blvd ste 102, Studio City, CA 91604",,,GP,,
YES - by Mellisa ,Brent-Air Animal Hospital,6/1/23,YES,,Unknown,Venice,,,1,1,,,"Kevin Schlanger, DVM",310.478.0011,frontdesk@brentairanimalhospital.com,"4477 Sepulveda Blvd, Culver City, CA 90230",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,Capri Plaza Pet Clinic,"6/25/25_ GF- Roberston, Gladys & Dre visited and spok to dr. tumura - realluuy nics brough us to the back met with her and her tech____________2/26/25 - 2/27/25_LM DVM Visit, Dr. Tamura
10/3/24_DVM Visit, Referral Packet, Big into birds, heavily advertising, all over lobby and online.  Didnt seem highly interested but could def send us stuff if we get on her good side. Good to connect with Robertson when shes on, Exotics Ref center  ",,,Unknown,"Aetna, SO",,,"6/25/26 _ DrRoberston,Gladys ,Dre",1,,,Dr. Tamura,818-881-6344 ,info@capriplazapetclinic.com,"19582 Ventura Blvd., Tarzana, CA 91356",,,SPE,,"Geriatric Care, Radiology, Exotics"
YES - by Mellisa ,CARE  - California Animal Rehabilitation,2/18/25_LMDVM Visit 3/11/25 ,SUPER CLINIC ,,Unknown,Venice,,1,3,3,3/11/25,,"Jessica H. Waldman, VMD, CVA, CCRT, Justine Ma, DVM, CVA, Carissa Hoffman, DVM, CVA, Dr. Ava Kent, DVM, CVA, Dr. Karen Rabin, DVM, CVMA,",310-998-2273,info@CalAnimalRehab.com,"240 Center St, El Segundo, CA 90245",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Carlsen Animal Hospital - CLOSED ,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,"YASMIN GOLSHAHI, RESHMA BIJLANI, SHADIE GHAFFARI",310.445.4692,CARLSENANIMALHOSPITAL@CAHSTAFF.COM,"11163 La Grange Ave, Los Angeles, CA 90025",Google Maps Link,2023-06-01,UNKNOWN,,
,Castillo Animal ,,,Attended,Unknown,,"Dr. Daniela Castillo,
Julianna Herrera",,,,,,Dr. Daniela Castillo,(213) 732-2683,castilloanimalvc@gmail.com,"Mobile Clinic
Mailing Address: 10316 Sepulveda Blvd. #117
Mission Hills CA 91345",Google Maps Link,,,,
YES - by Gladys ,Center Sinai Animal Hospital,"3/17_GF: New clinic - was not added to this spreadsheet but popped up in our referral report 
""I Have stopped by a Few times, Dropped off Flyers
6/1/23_Emailed, Materials Dropped""",Yes,,,Venice,,2,NEW CLINIC NEVER VISITED! ,NEW CLINIC NEVER VISITED! ,,,"Dr. Gamez ( Cheif of Staff ) Emily is the sopital Manager 
Dr. Barry Baum",(310) 559-3770,info@centersinaianimalhospital.com,"10737 Venice Blvd., Los Angeles, CA 90034",Google Maps Link,,,,
YES - by Mellisa ,Centinela Animal Hospital,"2/18/25_LM DVM Visit
6/1/23_Emailed - 3/11/25",SUPER CLINIC ,,Unknown,Venice,,40,3,3,3/11/25,,Dr. Palmquist,(310) 673-1910,centinela.animal@gmail.com,"721 Centinela Ave, Inglewood, CA 90302",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Comforting Creatures,6/1/23,NO,,Unknown,Venice,,,unkown,unkown,,,,310.438.6734,comfortingcreatures@dvmcenter.com,"5113 1/2 Lincoln Ave Los Angeles, CA",Google Maps Link,2023-06-01,UNKNOWN,,
,Community Animal Treatment Center,,,Attended,Unknown,,"Sandy Sagastume 
Dr. Peyvand M. Silverman ",,,,,,Dr. Peyvand M. Silverman ,818 330 3403,"info@catcburbank.org, ","7680 Clybourn Avenue Suite A, Sun Valley, California 91352",Google Maps Link,,,,
Visit 3/20 ,Complete Animal Eye Care Center,3/3/25_LM DVM Visit,,,Unknown,"Aetna, SO",,,1,1,,,Dr. Bruce Silverman DVM,(818) 986-4356,completeanimaleyecarecenter@hotmail.com,"14120 Ventura Blvd, Sherman Oaks, CA 91423",,,SPE,,ophthalmic services
,Copper Hill Animal Clinic,,,,,,,,,,,,Dr. Vanessa Vandersande / Dr. Nicole Watts , (661) 296-8848,," 26859 Bouquet Canyon Rd ste c, Santa Clarita, CA 91350",,,,,
YES - by Mellisa ,Culver City Animal Hospital,6/1/23,YES,,Unknown,Venice,,,3,3,,,Dr. Heidi Hillary and Dr Lee (relief),310.836.4551,culvercityanimalhospital5830@gmail.com,"5830 Washington Blvd, Culver City, 90232",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,Culver Palms Animal Hospital,2/18/25_LM DVM Visit,YES,,Unknown,Venice,,,2,2,,,Tony (practice Mannager),310-398-7256,ReceptionCPAH@gmail.com,"11511 Washington Blvd.
Los Angeles, California 90066",,,UNKNOWN,,
Visit 3/21,Dill Veterinary Hospital,,NO,,Unknown,"Aetna, SO",,,1,unkown,,,,(818) 899-5287,dillvet@verizon.net,"11207 San Fernando Road, San Fernando, CA 91340",Google Maps Link,,,,
,Dog & Cat Imaging Center,,,,,,,,,,,,"Dr. Lynetter D'Urso, DVM",,dogandcatcardio@gmail.com,,Google Maps Link,,,,
Visit 3/19,Dog and Cat Hospital Calabasas,2/5/25_LM DVM Visit ,Yes,Attended,Unknown,"Aetna, SO",Aris - ambassador,2,3,1,,Michelle - Manager,,818-963-2616, dogandcatcalabasas@gmail.com,"22291 Mulholland Hwy, Calabasas, CA 91302",,,UNKNOWN,,
