7,,,,,,,,,,,,,Internal Medicine - Script,,,,Cardiology,,,,Dentistry,,,,Other,,
Location,Group,Business Name,Contact,Phone #,Address,email address,NG sent email with hiring letter,last con date,last con person,Note,Partner Status,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1,Emailed,Called,Materials Dropped,DVM VISTED 1
BH/WHollywood,VCA,VCA Venture Animal Hospital,,310.559.2500,"8750 Venice Blvd, LA, 90034","VETS: Anat.Elkayam@vca.com, Claire.SophieGuinez@vca.com, Danielle.Pickering@vca.com, Michael.Snyder@vca.com, Kellen.Flanigan@vca.com, 

TECHS and ASSISTS   Araceli.Aguila@vca.com, Rickee.Alexander-Darius@vca.com, Israel.Castellanos@vca.com, Ashley.Chavez@vca.com, Teri.Chiota@vca.com, Selena.Accardi@vca.com","11/7/2022, 12/9, 1/3/2023,",5/19/2023,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,VCA,VCA Miller-Robertson,,310.657.7050,"8807 Melrose Ave, LA, 90069","(Medical Director) Mark.nunez@vca.com, Lisa.Lomond@vca.com, Emily.Torres@vca.com, Alexis.Traylor@vca.com",11/7,5/19/2023,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,,Beverly Hills Small Animal Hospital,John Winters,310.276.7113,"353 Foothill Dr, Bevely Hill, 90210",bhsah.pets@gmail.com,11/7,5/19/2023,NG,"Spoke to Letty on 4/13 and she said Dr. Winters is the one to contact and his email is:  bhsah.pets@gmail.com, explained about our Internal Medicine Services and he would love for us to email him for Dr. Geist to stop by- NG (email sent)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,,Beverly Pet Clinic,Dr. Woo,323.378.5402,"4655 Beverly Blvd, LA 90004",info.beverlypetclinic@gmail.com,11/7,5/19/2023,,"Spoke to Gabby, Dr. Woo is contact person and she left to Korea and will be back April 25th but said to email her at: info.beverlypetclinic@gmail.com and she will response back to us when she is back.- NG (email sent)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,,Beverly Robertson Vet Clinic,Dr. Nassi,310.464.0264,"1800 S Robertson Blvd, LA 90035",info@beverlyrobertsonvet.com,11/7,5/19/2023,,"Spoke to Ruby, gave me email that all Vets can see so a good thing to send for Vets to join us also- NG (sent email)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,,MASH- Metropolitan Animal Specialty Hospital,,323.238.9295,"6565 Santa Monica Blvd, LA, 90038",reception@mash.vet,"11/7/2022, 12/9",5/19/2023,,Spoke to Allison- NG (sent email),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BH/WHollywood,,West Hollywood Animal Hospital,Dr. Monica Revel,310.275.0055,"9000 N Santa monica Blvd, Wwst Hollywood, 90069",info@wh-ah.com,11/7,5/19/2023,,"Spoke to Ruby, very interested in a call and will email now letter for job opportunities- NG  (sent email)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Culver/MidCity,,Center-Sanai Animal Hospital,Dr. Barry Baum,310.559.3770,"10737 Venice Blvd, LA, 90034",info@centersinaianimalhospital.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Culver/MidCity,,Culver City Animal Hospital,,310.836.4551,"5830 Washington Blvd, Culver City, 90232",culvercityanimalhospital5830@gmail.com,11/7,6/1/2023,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Culver/MidCity,,Rancho Park Veterinary Clinic,Dr. Jeffrey Marks,310.474.3398,"10585 W Pico Blvd, LA, 90064",office@ranchoparkveterinaryclinic.com,11/7,6/1/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
