,CLINIC VISIT TRACKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT TITLE,,[Project's title],,,,,,,,,,,,,COMPANY NAME,,,,,,,[Company's name],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT MANAGER,,[Project Manager's name],,,,,,,,,,,,,DATE,,,,,,,3/12/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLINIC NAME,,"CLINIC CONTACT INFORMATION: EMAIL, PHONE, ADDRESS",,,,,DVM'S AT PRACTICE,,,,GP OR SPECIALTY HOSPITAL; IF SPECIALTY WHAT SERVICES DO THEY OFFER?,,ARE THEY IN EZ VET?,SERVICES WE CAN OFFER ,FIRST VISIT,,,,,,,,,,,,,,,,,SECOND VISIT,,,,,,,,,,,,,,,,,,,,,,THIRD VISIT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DATE/TIME,,,,,CONTACT,,,,, MATERIAL GIVEN,,,,,SWAG,NOTES,REFERRED?,,,,,DATE/TIME,,,,,CONTACT,,,,, MATERIAL GIVEN,,,,,SWAG,NOTES,REFERRED?,,,,,DATE/TIME,,,,,CONTACT,,,,, MATERIAL GIVEN,,,,,SWAG,NOTES
,TERRITORY - THE VALLEY (Clinics),,PHONE,EMAIL,ADDRESS,,,,,,,GP OR SPE,SPE SERVICES,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,,Y/N,,,,,DATE,,,TIME,,NAME,,,TITLE,,,,,,,Y/N,
,THRIVE Woodland Hills ACCESS Specialty Animals Hospital,,818-887-2262,dagaiby@accessvets.com ,"20051 Ventura Blvd D, Woodland Hills, CA 91364",,,"Dr. Steve Col DVM, DACVECC, DACVIM, Dr. Amelia Sinkin VMD, DACVIM, Dr. Chirstina DeAscentis DVM, Dr. Katrina Jung DVM, Dr. Cecilia Kong DVM, Dr. Jaclyn Lai DVM, Dr. Patricia Paravicini DVM, DR. Ashley Pearson DVM, Dr. Eland Hadar DVM, DACVIM (SAIM), Dr. Julie Egnor DVM, DACVIM, Dr. Chrystal Nguyen DVM, Dr. Yonatha Buks BVSc (Hons), DACVS-SA, Dr. Jenelle Serex DVM",,,,SPE,"Emergency Care, Critical Care, Cardiology, Internal Medicine, Neurology, Urgent Advanced Surgery, Veterinary Orthopedics, CrCL Surgery (Cranial Cruciate Ligament), TPLO Surgery (Tibial Plateau Leveling Osteotomy, End-of-Life Care, In-Home Euthansia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA McClave Veterinary Hospital,,818-881-5102,"Michelle.Juan@vca.com, Nada.Khalaf@vca.com, Hughes.Sanders@vca.com","6950 Reseda Blvd., Reseda, CA 91335",,,"Dr. Michelle Juan DVM, Dr. Nada Khalaf DVM, Dr. Vivia Liang DVM, Dr. Hughes Sanders DVM, Dr. Greg Sauer DVM ",,,,SPE,"Cardiology, Digital Radiology, OFA X Ray, Ophthalmology, Soft Tissue Surgery, Tonopen, Ultrasound, Emergency Care",,,,,,,,,,,,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA McGrath Vet Center,,818.796.4550,,"4560 Sherman Oaks Ave, Sherman Oaks, CA 91403",,,"Dr. Brian McGrath DVM (Owner), Dr. Grace Song DVM, Dr. Michelle Miller DVM, Dr. Elysa Braunstein VMD, Dr. Supreet Dhillon DVM, Dr. Rubie Medina DVM, Dr. Salpi Shahbenderian DVM ",,,,SPE,"Emergency, Diagnostics, Laser Therapy",,,,,,,,Vickie-Lynne Crisosto,,,Manager/RVT,,Referral Packet Version 1,,,,,,Just rolled out UC and Emergency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Emergency Center (True Care for Pets),,818-760-3882,team@truecareforpets.com,"11730 Ventura Blvd, Los Angeles, CA 91604",,,"Dr. Natalie Soto DVM, DACVS-SA, Dr. Emilie Chaplow VMD, DACVIM, Dr. Maya Lottati DACVIM, Ph.D., Dr. Lauren Quartermand DVM, DACVR, Dr. Karen Koo DVM, MBA, DACVIM, Dr. Amanda Tallant DVM, Dr. Jessica Beymer DVM, DACVECC, Dr. Morgan Cavanaugh, Dr. Juli White DVM, Dr. Angel Wu DVM, Dr. Trish Ogle DVM, Dr. Peter Norfeldt DVM, Dr. Karina de Anda DVM, Dr. Cris Fontes DVM, Dr. Nish Mitra DVM, Dr. Cindy Sibrian DVM, Dr. Elizabeth Craig DVM, Dr. Lindsey Louderback DVM",,,,SPE,"Emergency Critical Care, Sugery, Internal Medicine, Advanced Imaging & Labs, Oncology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Animal Specialty Group,,818-244-7977,"Andreas.Andreou@vca.com, , Emily.Coddon@vca.com, Nicole.DeNezzo@vca.com, Max.Gluck@vca.com, Michael.Huber@vca.com, Martin.Kwan@vca.com, Joshua.Laske@vca.com, Emi.Ohashi@vca.com, Bonnie.Oliphant@vca.com, Rhonda.Schulman@vca.com, Dana.Sengewald@vca.com, Katie.Shanley@vca.com, Christina.Thompson@vca.com","4641 Colorado Blvd., Glendale, CA 90039",,,"Dr. Vaneh Allahverdi DVM, Dr. Kyla Alvarez DVM, Dr. Andreas Andreou DVM, Dr. Heather Baydian DVM, Dr. Morgan Biggo DVM, DACVS, Dr. Rikki Boswell DVM, Dr. Emily Chapel DVM, MS, DACVIM, Dr. Emily Coddon DVM, Dr. Mickila Collins DVM, DACVIM, Dr. Nicole DeNezzo DVM, Dr. Yelena Geourge DVM, Dr. Max Gluck DVM, Dr. Michael Huber DVM, MS, DACVS, Dr. Kate Kim DVM, Dr. Martin.Kwan DVM, Dr. Joshua.Laske DVM, Dr. Olga Maderich DVM, Dr. Libby Mannucci DVM, DACVECC, Dr. Emi Ohashi DVM, PhD, DACVIM, Dr. Bonnie Oliphant DVM, DACVIM, Dr. Charlotte Pfund DVM, Dr. Rhonda Schulman DVM, DACVIM, Dana Sengewald DVM, DACVIM, Dr. Katie Shanley, Dr. Christina.Thompson DVM, Dr. Kirk Wendelburg DVM, DACVS, ACVS, Dr. Ayako Zabalaga DVM",,,,SPE,"Cardiology, Emergency & Critical Care, Internal Medicine, Neurology, Oncology, Surgery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beverly Oaks Animal Hospital,,818.722.8680,bevoaks@gmail.com,"14302 Ventura Blvd., Sherman Oaks, CA 91423",,,"Dr. Laurie Leach, Dr. Brian Wood",,,,SPE,Behavior,,,,,,,,Sheena Novick,,,Manager,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Chatoak Pet Clinic,,818-363-7444,"Senta.Belding@vca.com, Cynthia.Binder@vca.com, Rebecca.Florio@vca.com, Donald.Morshead@vca.com, Smitha.Srinath@vca.com","17659 Chatsworth St, Granada Hills, CA 91344",,,"Dr. Senta Belding DVM, Dr. Cynthia Binder DVM, Dr. Rebecca Florio DVM, Dr. Brett Gouldburn DVM, Dr. Linda Jackson DVM, Dr. Allison More DVM, Dr. Donald Morshead DVM, Dr. Smitha Srinath DVM",,,,SPE,"Bone and Joint Surgery, Cardiology, Chemotherapy, Cold Laser Therapy, Dermatology, Diagnostic Imaging, Digital Radiology, EKG, Laparoscopy, Laser, Surgery, OFA X-Ray, Oncology, Ophthalmology, Orthopedic Surgery, Soft Tissue Surgery, Stem Cell Therapy, Tonopen, Chinese Herbal Medicine, Herbal Medicine, Holistic Medicine, Pet Counseling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eagle Rock Pet Emergency Clinic,,323-254-7382,info@erpetemergency.com,"4254 Eagle Rock Blvd., Los Angeles, CA 90065",,,Dr. Meredith Kennedy,,,,SPE,Emergency ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Veterinary Specialists of the Valley,,818-883-8387,"Melissa.Céspedes@vca.com, Pierce.Chan@vca.com, John.Chretin@vca.com, YinWaBrontie.Kong@vca.com, Brittany. Harris@vca.com, Denitza.Kakacheva@vca.com, Vanessa.Tse@vca.com","22123, Ventura Blvd Woodland Hills, CA 91364",,,"Dr. Yazdan Aryazand DVM, Dr. Melissa Cespedes DVM, Pierce Chan DVM, MS, DACVIM, John Chretin DVM, DACVIM, Lisa Gerlach DVM, DACVIM/Neurology, Brittany Harris VMD, Lisa Hernandez DVM, Senta Hutchinson DVM, Denitza Kakacheza DVM, Yin Wa Brontie Kong DVM, MS, Ashlei Tinsley VMD, DACVECC, Vanessa Tse DVM, Jacqueline Tung DVM, Nicol Volstad BVSc, DACVS",,,,SPE,"Anesthesiology, Cardiology, Counseling, Diagnostic Imaging, Emergency & Critical Care, Internal Medicine, Interventional Radiology, Neurology, Oncology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Dermatology Center,,818-981-8877,animaldermatologycenter@gmail.com,"13125 Ventura Blvd, Studio City, CA 91604",,,"Dr. Alexander Werner Resnick VMD, Dr. William Oldenhoff, DVM",,,,SPE,Dermatology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Animal Medical Center,,818-786-1651,,"14931 Oxnard Street Van Nuys, CA 91411",,,"Dr. Andy Gevshenian DVM, Dr. Christine Khanbabian DVM, Dr. Amit Lancet DVM, Dr. Lloyd Pilch DVM, Dr. Svenja Viete: MANAGER - Stephanie Gonzalez",,,,GP,"Dermatology, Diagnostic Imaging, Digital Radiology, EKG, OFA X-Ray, Soft Tissue Surgery, Ultrasound",ADD ASAP,"Dentistry - complex cases, CT, Overnight Nursnig, Complex soft tissue, IM",9/12,,,11:00 AM,,Stehpanie Gonzalez - 818.786.1651,,,Hospita Manager,,Referral Packet Version 1,,,,,,"Bigger than it looks, not exclusive VCA network, excited for us to open, old school clinic and team, most have been there forever, pre-vca employee base.  They do GP, UC, Soft Tissue, XRay, Dentistry. But not complex, VERY concerned with Local community kind of people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Balboa Veterinary Care,,​818-907-0929,,"6440 Sepulveda Blvd Ste B Van Nuys, CA 91411",,,"Dr. King Moon, Dr. Sindy Habib",,,,GP,,,,,,,,,Karin,,,Manager,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Van Nuys Veterinary Clinic        ,,818-453-8789,vannuysvetclinic@gmail.com,"7215 Van Nuys Blvd, Van Nuys, CA",,,Dr. Oh,,,,GP,,,,9/12,,,10:00 AM,,Stephanie,,,Manager,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panorama Pet Hospital ,,818-786 - 4300,,"14519 Arminta St. Panorama City, CA 91402",,,"Dr. Rashi Gupta DVM, Dr. Suman Prabahakar DVM",,,,GP,,,,,,,,,Tammy Harrison,,,Manager,,Referral Packet Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Encino Veterinary Center,,818-783-7387,Hello@EncinoVetCenter.com,"17009 Ventura Boulevard Encino, CA 91316",,,"Dr. Christine Fabregas-Arnau, Dr. Julio López, Dr. Noosha Kohan, Dr. Ashley Katich, Dr. Lauren Matzuka, Dr. Adriana Razo, Dr. Jessica Callisher",,,,SPE,"Internal Medicine, Exotic Medicine, Dentistry & Surgery",,,,,,,,Left with CSR,,,,,"Does Exotics, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Clinic of Encino,,818-342-7900,,"18010 Ventura Blvd. Encino, CA 91316",,,Tina Chang DVM,,,,SPE,"Neurology, Internal Medicine, Ophthalmology, Dermatology, Geraontology, Ocology, Radiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Cure Veterinary Center,,818-996-0000,,"18205 Sherman Way Reseda, CA 91335",,,"Dr. Amanda Munoz, Dr. Tostado ",,,,SPE,Orthopedic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid Valley Veterinary Hospital ,,818-705-4585,midvalleyveterinaryhospital@gmail.com,"17280 Saticoy St. Van Nuys, CA 91406",,,DR. MICHAEL PITT ,,,,SPE,"Dermatology, Advanced Orthopedic Surgery, Soft Tissue Surgery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCA Adler Animal Hospital,, 818-893-6366,,"16911 Roscoe Blvd. North Hills, CA 91343",,,"Dr. Craig Adler DVM, Dr. Kari Camelio, Dr. Maryssa Cha DVM, Dr. Lorie Kiss, Dr. Rogelio Pena DVM",,,,SPE,"Dermatology, Diagnostic Imaging, Digital Radiology, EKG, OFA X-Ray, Soft Tissue Surgery, Ultrasound, ZooMED Animal Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Best Friends Animal Hospital,,818-766-2140,,"5425 Laurel Canyon Blvd.Valley Village, CA 91607",,,"Dr. Erica Heim, Dr. Susie Osmundson, Dr. Tracy Noda, Dr. Dan West, Dr. Lauren Vaughan, Dr. Amanda Wright",,,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aloro Pet Hospital ,,818-766-8197,,"4846 Laurel Canyon Blvd Valley Village, CA 91607",,,"Dr. Dumas, Dr. Anush, Dr. Drogra",,,,SPE,Behavior Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio City Animal Hospital,,818-769-1338,drscah@aol.com  ,"
11800 Ventura Blvd Studio City, CA 91604",,,"
Clyde Pitts, DVM, Robert Fullington, DVM, Hannah Kim, DVM, Mike McClenahan, DVM, Seema Singeetham, DVM, Geoffrey Stein, DVM, Kelley McCrimmon, DVM",,,,GP,,,,,,,,,Left with CSR,,,,,Referral Packet Version 1,,,,,,Covid protocols still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modern Animal,,866-505-8755,hello@modernanimal.com,"12157 Ventura Blvd., Studio City, CA, 91604",,,"Dr. Annie Kang, Dr. Cesar Diaz, Dr. Patty Thongnamsap, Dr. Alexandra Barker",,,,GP,,,,,,,,,,,,,,Not Yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southpaw Vets,,818-935-5444,hello@southpawvets.la,"13520 Ventura Blvd. Sherman Oaks, CA 91432",,,"Dr. Lena Braham, Dr. Connie Chiang, Dr. Linda Shim, Dr. Erin Evans, Dr. Tracy Noda, Dr. Lisa Youn, Dr. Hannah Goorsky",,,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sherman Oaks Veterinary Group,,818-784-9977,so.vetgroup@yahoo.com,"13624 Moorpark Street, Sherman Oaks, CA 91423",,,"DR. WESTON RICHTER, DR. ANDREA RICHTER, DR. MATT LOCKHARTT, DR. MATTHEW GOSS",,,,SPE,"Dermatology, Gastrointenstinal Distress, Digital Radiology Ultrasonography, Cardiology, CT Scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
